Driver,AvgLapTime_s,AvgS1_s,AvgS2_s,AvgS3_s,TotalLaps
ALB,93.68779389312978,34.01680620155039,31.817625954198476,27.729190839694656,131
ALO,97.57947580645161,33.020450000000004,35.31316129032258,29.01877419354839,124
ANT,91.57186627906977,30.406818713450292,30.42988953488372,30.694941860465114,172
BEA,93.30147297297297,30.565823129251704,29.21020945945946,33.445344594594594,148
BOR,92.2364496124031,32.949921875,31.605713178294575,27.590992248062015,129
BOT,98.62535294117647,32.58328358208955,35.47691911764706,30.389036764705878,136
COL,94.09399415204679,31.27545238095238,31.313491228070177,31.333438596491227,171
GAS,92.81950381679388,30.3426,29.5976106870229,32.792160305343515,131
HAD,96.36597894736842,30.496129032258064,34.584410526315786,31.043115789473685,95
HAM,92.40116666666667,30.82567630057803,30.754770114942527,30.769528735632186,174
HUL,97.80636046511627,30.880176470588236,36.04180232558139,30.730837209302322,86
LAW,93.38509848484848,30.40683076923077,29.819636363636363,33.03786363636363,132
LEC,92.21933139534885,30.673088757396453,30.555040697674418,30.895197674418604,172
LIN,94.21952325581395,31.2909349112426,31.248930232558138,31.56963372093023,172
NOR,90.50406153846154,32.1282109375,31.028007692307693,27.26501538461538,130
OCO,94.08499418604652,31.38641420118343,31.07643023255814,31.509476744186045,172
PER,95.95305847953215,31.91356804733728,31.950128654970758,31.958163742690054,171
PIA,94.12243529411765,33.61853012048193,38.2289294117647,22.200364705882354,85
RUS,92.05584482758621,30.559289017341037,30.59728735632184,30.85092528735632,174
SAI,94.38426162790698,31.461647058823534,31.351598837209306,31.45453488372093,172
STR,96.36729906542055,33.674548076923074,32.70817757009346,29.71406542056075,107
VER,92.60003636363636,31.056756097560974,31.01492727272727,30.466739393939392,165
